"x"	"y"	"z"	"alpha"	"spin"	"theta"	"v_incoming"	"w_ball"	"w_racket"	"x_ground"	"y_ground"
"68"	3.98166666666667	-4.12	1	15.6781259762238	-1	2	11.3793103448276	261.662423796952	53.448275862069	-8.80842860766018	-0.532884201664828
"69"	3.98166666666667	-4.12	1.125	15.6781259762238	-1	3	11.3793103448276	383.223249949515	53.448275862069	-9.62481799265075	-0.307101852216852
"70"	3.98166666666667	-4.12	1.25	15.6781259762238	-1	4	11.3793103448276	315.171278547496	53.448275862069	-11.5765795465707	0.245419766880276
"71"	3.98166666666667	-4.12	1.375	15.6781259762238	-1	4	11.3793103448276	455.190521106124	53.448275862069	-11.152596449302	0.126497642474816
"72"	3.98166666666667	-4.12	1.5	15.6781259762238	-1	3	11.3793103448276	359.125264454633	53.448275862069	-11.1617329520538	0.126804379370276
"73"	3.98166666666667	-4.12	0.75	11.7585944821679	-1	7	16.8965517241379	468.138455227017	50.3448275862069	-11.8560155638488	-0.823897658788155
"74"	3.98166666666667	-4.12	0.875	11.7585944821679	-1	4	11.3793103448276	314.850648771971	53.448275862069	-10.3015452080117	-1.14836685035766
"75"	3.98166666666667	-4.12	1	11.7585944821679	-1	5	11.3793103448276	341.204651258886	53.448275862069	-11.7560203012735	-0.847947272548868
"76"	3.98166666666667	-4.12	1.125	11.7585944821679	-1	2	11.3793103448276	280.781854782254	53.448275862069	-9.45580409557287	-1.3252179756214
"77"	3.98166666666667	-4.12	1.25	11.7585944821679	-1	1	11.3793103448276	136.927269399166	53.448275862069	-10.2660746429672	-1.15012646889794
"78"	3.98166666666667	-4.12	1.375	11.7585944821679	-1	2	11.3793103448276	210.552334040403	53.448275862069	-11.1126010132943	-0.981843923003866
"79"	3.98166666666667	-4.12	1.5	11.7585944821679	-1	2	11.3793103448276	199.627359956503	53.448275862069	-11.7241506235835	-0.848857395402984
"80"	3.98166666666667	-4.12	0.75	7.83906298811192	-1	6	11.3793103448276	400.191313307732	53.448275862069	-11.6247536076022	-1.97190988448879
"81"	3.98166666666667	-4.12	0.875	7.83906298811192	-1	4	11.3793103448276	406.031003594398	53.448275862069	-9.87720283805402	-2.21458878002456
"82"	3.98166666666667	-4.12	1	7.83906298811192	-1	2	11.3793103448276	181.750792171806	53.448275862069	-9.90710210310941	-2.20519887548215
"83"	3.98166666666667	-4.12	1.125	7.83906298811192	-1	1	11.3793103448276	346.699141710997	53.448275862069	-8.19647792376677	-2.44090278720523
"84"	3.98166666666667	-4.12	1.25	7.83906298811192	-1	1	11.3793103448276	321.102313883603	53.448275862069	-8.87923842691559	-2.35135557914472
"85"	3.98166666666667	-4.12	1.375	7.83906298811192	-1	0	11.3793103448276	226.073966827244	53.448275862069	-9.03553429604442	-2.32679463769522
"86"	3.98166666666667	-4.12	1.5	7.83906298811192	-1	0	11.3793103448276	209.466902818531	53.448275862069	-9.69420694628798	-2.24012038183923
"87"	3.98166666666667	-4.12	0.75	3.91953149405596	-1	6	37.5862068965517	225.508034229279	16.2068965517241	-11.7549133777745	-3.040499183855
"88"	3.98166666666667	-4.12	0.875	3.91953149405596	-1	5	11.3793103448276	349.982226174325	53.448275862069	-11.4689329962344	-3.06162962496338
"89"	3.98166666666667	-4.12	1	3.91953149405596	-1	4	11.3793103448276	255.139205045998	53.448275862069	-11.6625479573429	-3.04937027347463
"90"	3.98166666666667	-4.12	1.125	3.91953149405596	-1	3	11.3793103448276	457.594946213067	53.448275862069	-9.75036631639264	-3.17878155118385
"91"	3.98166666666667	-4.12	1.25	3.91953149405596	-1	3	11.3793103448276	428.186851926148	53.448275862069	-10.3870089191223	-3.1356415490014
"92"	3.98166666666667	-4.12	1.375	3.91953149405596	-1	0	11.3793103448276	386.046482156962	53.448275862069	-8.24980839175263	-3.28250061299127
"93"	3.98166666666667	-4.12	1.5	3.91953149405596	-1	0	11.3793103448276	216.716320626438	53.448275862069	-9.73165072210602	-3.17889447183248
"94"	5.96333333333333	-4.12	0.75	24.7751405688319	-1	9	37.5862068965517	257.879074010998	16.2068965517241	-11.0678972351546	3.73883084933634
